Date,S&P 500 Information Technology ,S&P 500 Industrials,S&P 500 Consumer Staples,S&P 400 Mid Cap,MSCI World Index USD,Dow Jones Industrial Average,S&P Health Care,S&P 500 Utilities
04/08/2009,318.18,214.35,253.82,645.76,1070,9320,2910,146.48
05/08/2009,315.4,212.9,251.29,643.64,1060,9280,2870,145.12
06/08/2009,313.16,214.15,249.12,638.5,1060,9260,2840,145.38
07/08/2009,316.13,219.56,250.23,655.1,1060,9370,2870,146.58
10/08/2009,314.34,217.11,250.68,650.69,1060,9340,2900,146.87
11/08/2009,311.16,214.31,249.98,641.78,1050,9240,2880,146.54
12/08/2009,316.34,218,249.96,650.2,1060,9360,2900,147.24
13/08/2009,319.16,218.43,250.86,655.15,1070,9400,2940,147.01
14/08/2009,316.23,215.15,250.6,645.99,1060,9320,2920,146.97
17/08/2009,307.86,208.95,248.37,627.81,1030,9140,2940,145
18/08/2009,312.35,211.84,249.24,636.03,1050,9220,2930,145.21
19/08/2009,313.63,211.69,250.77,640.28,1050,9280,2950,146.17
20/08/2009,316.92,214.3,252.21,647.07,1060,9350,2980,147.13
21/08/2009,321.76,219.71,254.96,659.6,1080,9510,3000,150.02
24/08/2009,321.51,219.98,254.61,656.93,1090,9510,3020,150.28
25/08/2009,321.85,221.41,254.99,660.17,1090,9540,3030,149.56
26/08/2009,322.03,219.38,255.91,659.48,1090,9540,3000,149.33
27/08/2009,323.19,221.22,255.39,661.89,1090,9580,3010,148.94
28/08/2009,324.21,220.18,254.03,663.15,1090,9540,2990,148.92
31/08/2009,321.3,217.62,254.89,654.54,1090,9500,2970,147.38
01/09/2009,315.11,213.49,252.16,640.1,1070,9310,2910,146.32
02/09/2009,314.98,212.42,252.55,636.71,1060,9280,2930,145.07
03/09/2009,316.58,215.54,253.65,645.31,1060,9340,2930,145.54
04/09/2009,321.91,219.84,255.46,653.35,1080,9440,2960,146.03
08/09/2009,324.29,222.6,257.61,661.79,1100,9500,2950,146.19
09/09/2009,326.83,226.05,257.41,670.93,1110,9550,3000,146.03
10/09/2009,331.21,228.1,259.14,678.69,1110,9630,3060,146.09
11/09/2009,330.73,229.1,259.73,679.41,1120,9610,3080,145.57
14/09/2009,330.94,231.81,259.72,686.88,1120,9630,3120,147.82
15/09/2009,332.87,234.67,258.14,692.55,1120,9680,3090,148.94
16/09/2009,336.13,238.37,259.82,706.3,1140,9790,3150,151.19
17/09/2009,335.41,237.98,259.72,701.94,1140,9780,3130,150.33
18/09/2009,335.87,237.96,262.67,701.53,1140,9820,3120,150.85
21/09/2009,336,236.73,262.3,699.66,1130,9780,3150,150.21
22/09/2009,337.23,238.8,262.29,704.2,1140,9830,3160,149.9
23/09/2009,336.09,236.55,262.21,693.97,1140,9750,3130,149.32
24/09/2009,333.94,233.16,261.06,682.48,1120,9710,3060,149.14
25/09/2009,331.61,230.64,260.43,678.31,1120,9670,3030,148.63
28/09/2009,337.36,234.37,261.61,692.72,1130,9790,3090,149.96
29/09/2009,335.02,233.95,262.75,695.04,1130,9740,3070,150.22
30/09/2009,335.65,231.92,263.19,691.02,1130,9710,3050,148.93
01/10/2009,326.02,225.94,260.72,669.89,1100,9510,3000,146.28
02/10/2009,324.92,222.67,262.17,663.43,1090,9490,2970,144.99
05/10/2009,327.61,226.82,262.68,677.44,1100,9600,3020,146.77
06/10/2009,333.84,229.3,264.93,686.98,1120,9730,3050,147.8
07/10/2009,335.4,228.67,265.82,687.27,1120,9730,3080,147.53
08/10/2009,336.72,231.43,267.34,697.12,1140,9790,3090,147.83
09/10/2009,340.49,232.63,267.92,702.19,1140,9860,3150,148.77
12/10/2009,341.43,232.48,268.33,702.86,1150,9890,3150,149.52
13/10/2009,341.46,232.38,267.72,699.85,1140,9870,3120,148.66
14/10/2009,346.44,238.5,269.1,712.58,1160,10020,3180,149.19
15/10/2009,346.37,239.2,271.35,714.65,1170,10060,3160,150.5
16/10/2009,342.93,237.08,272.4,707.87,1160,10000,3150,150.88
19/10/2009,346.31,239.22,273.85,715.6,1170,10090,3180,153.13
20/10/2009,346.32,237.52,273.38,708.93,1170,10040,3170,151.36
21/10/2009,345.59,235.44,271.04,701.43,1160,9950,3130,151.63
22/10/2009,347.59,237.29,271.53,710.8,1160,10080,3150,152.08
23/10/2009,346.51,233.25,268.57,701.33,1150,9970,3110,149.56
26/10/2009,345.39,230.86,266.49,693.57,1140,9870,3060,147.61
27/10/2009,342.19,228.46,266.97,685.81,1130,9880,3070,147.12
28/10/2009,336.02,223.48,265.94,663.37,1110,9760,2950,145.6
29/10/2009,342.62,227.92,270.67,678.23,1130,9960,3040,146.97
30/10/2009,334.37,221.11,265.94,659.15,1110,9710,2960,144.15
02/11/2009,335.75,223.23,268.71,662.16,1110,9790,3010,143.75
03/11/2009,334.77,226.44,266.94,670.03,1100,9770,3060,143.44
04/11/2009,337.01,226.11,268.14,666.72,1120,9800,3050,144.42
05/11/2009,344.36,231.69,269.7,682.37,1130,10010,3100,146.85
06/11/2009,344.73,234.52,270.62,681.35,1130,10020,3100,146.48
09/11/2009,352.27,240.3,274.59,697.77,1160,10230,3140,149.01
10/11/2009,352.22,239.59,274.72,696.75,1160,10250,3150,149.49
11/11/2009,354.31,240.82,275.45,701.98,1160,10290,3170,149.12
12/11/2009,352.76,238.4,273.97,691.44,1150,10200,3130,147.12
13/11/2009,355.9,239.96,275.84,698.26,1160,10270,3160,148.3
16/11/2009,359.52,244.79,277.83,710.57,1180,10410,3190,150.21
17/11/2009,361.16,244.72,278.29,709.35,1170,10440,3180,149.66
18/11/2009,359.31,243.68,278.26,705.89,1170,10430,3150,148.99
19/11/2009,353.56,240.04,277.34,691.39,1150,10330,3110,147.15
20/11/2009,351.28,239.33,277.47,687.54,1150,10320,3110,147.5
23/11/2009,356.88,242.96,280.28,694.8,1170,10450,3180,149.53
24/11/2009,355.21,242.27,280.42,692.89,1160,10430,3180,150.04
25/11/2009,355.84,243.88,280.44,697.78,1170,10460,3180,151.4
27/11/2009,350.11,239.94,277.47,683.79,1140,10310,3130,148.95
30/11/2009,351.1,240.3,276.11,684.77,1150,10340,3100,150.16
01/12/2009,355.82,243.76,279.78,695.31,1170,10470,3140,152.86
02/12/2009,355.41,243.45,279.74,699.84,1170,10450,3160,154.87
03/12/2009,354.84,241.8,277.6,692.54,1170,10370,3120,155.35
04/12/2009,357.91,245.34,278.86,702.14,1170,10390,3150,154.7
07/12/2009,356.18,245.18,279.19,701.4,1170,10390,3180,155.83
