Date,S&P Health Care,Dow Jones Industrial Average,MSCI World Index USD,S&P 400 Mid Cap,S&P 500 Consumer Staples,S&P 500 Industrials,S&P 500 Information Tech,S&P 500 Utilities
22/10/2024,14340,42920,3730,3140,882.24,1160,4580,413.03
23/10/2024,14190,42510,3700,3120,881.16,1160,4500,417.22
24/10/2024,14190,42370,3710,3130,879.25,1150,4510,414.26
25/10/2024,14070,42110,3710,3110,872.55,1140,4530,408.22
28/10/2024,14200,42390,3720,3140,873.55,1150,4530,411.43
29/10/2024,14400,42230,3720,3140,865.16,1150,4580,402.66
30/10/2024,14200,42140,3710,3140,862.88,1140,4520,401.71
31/10/2024,14010,41760,3650,3100,861.7,1130,4360,405.9
01/11/2024,14280,42050,3660,3100,861.13,1130,4390,396.74
04/11/2024,14230,41790,3660,3110,863.53,1130,4380,391.92
05/11/2024,14350,42220,3690,3160,869.49,1150,4450,397.71
06/11/2024,14810,43730,3750,3290,855.82,1200,4560,393.82
07/11/2024,14880,43730,3790,3280,858.99,1190,4640,394.42
08/11/2024,14630,43990,3790,3300,871.43,1200,4620,401.48
11/11/2024,14940,44290,3800,3330,866.77,1210,4580,402.69
12/11/2024,14710,43910,3770,3290,867.59,1200,4600,398.14
13/11/2024,14530,43960,3770,3270,869.99,1200,4590,397.18
14/11/2024,14140,43750,3750,3240,868.07,1180,4590,395.66
15/11/2024,13890,43440,3710,3210,860.88,1170,4480,401.46
18/11/2024,13960,43390,3720,3210,866.57,1170,4490,404.36
19/11/2024,14050,43270,3740,3220,869.49,1170,4540,407.04
20/11/2024,14110,43410,3730,3230,867.9,1170,4530,407.35
21/11/2024,14330,43870,3750,3290,878.64,1190,4560,414.48
22/11/2024,14500,44300,3770,3340,887.58,1200,4550,411.75
25/11/2024,14830,44740,3780,3390,890.83,1210,4530,412.57
26/11/2024,14780,44860,3790,3380,896.6,1210,4570,419.01
27/11/2024,14780,44720,3790,3360,897.19,1210,4510,418.94
29/11/2024,14850,44910,3810,3370,900.88,1210,4560,418.72
02/12/2024,14880,44780,3820,3360,899.98,1210,4610,410.01
03/12/2024,14730,44710,3830,3350,895.8,1200,4630,406.41
04/12/2024,14910,45010,3850,3360,894.29,1200,4710,406.5
05/12/2024,14620,44770,3850,3330,897.8,1190,4700,407.53
06/12/2024,14570,44640,3860,3330,893.89,1190,4710,402.66
09/12/2024,14580,44400,3840,3310,889.44,1170,4690,397.43
10/12/2024,14440,44250,3820,3290,893.85,1170,4630,394.16
11/12/2024,14440,44150,3840,3310,888.24,1170,4700,391.91
12/12/2024,14270,43910,3830,3290,889.8,1160,4680,391.5
13/12/2024,14320,43830,3820,3280,888.06,1160,4700,391.79
16/12/2024,14320,43720,3830,3270,884.83,1160,4750,388.56
17/12/2024,14040,43450,3810,3240,883.73,1150,4730,387.07
18/12/2024,13710,42330,3720,3110,871.03,1120,4590,377.81
19/12/2024,13590,42340,3700,3110,864.62,1120,4600,379.63
20/12/2024,13760,42840,3720,3120,865.68,1130,4670,385.43
23/12/2024,13750,42910,3750,3130,860.74,1130,4730,386.94
24/12/2024,13800,43300,3780,3160,867.68,1140,4780,389.1
26/12/2024,13890,43330,3780,3170,867.98,1140,4780,388.04
27/12/2024,13810,42990,3760,3140,862.9,1130,4710,386.91
30/12/2024,13670,42570,3720,3120,852.53,1120,4660,385.42
31/12/2024,13700,42540,3710,3120,853.65,1120,4610,384.95
